City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,Bonthe,7.5264,-12.505,76.51,75,99,10.71,SL,2022-07-28 23:12:20
181,George,-33.963,22.4617,59.43,52,0,5.88,ZA,2022-07-28 23:12:20
182,Cururupu,-1.8283,-44.8683,74.61,88,40,3.53,BR,2022-07-28 23:12:21
183,Richards Bay,-28.783,32.0377,64.81,83,2,15.59,ZA,2022-07-28 23:12:21
184,Dibulla,11.2725,-73.3091,78.49,86,92,1.52,CO,2022-07-28 23:12:21
185,Lodwar,3.1191,35.5973,80.74,46,59,13.69,KE,2022-07-28 23:12:22
186,Uvinza,-5.1036,30.3911,73.2,53,94,2.53,TZ,2022-07-28 23:12:22
187,Morondava,-20.2833,44.2833,68.23,78,0,4.43,MG,2022-07-28 23:12:22
188,Mattru,7.6244,-11.8332,71.67,92,100,3.27,SL,2022-07-28 23:12:23
189,Bandarbeyla,9.4942,50.8122,76.06,82,64,26.51,SO,2022-07-28 23:12:23
190,Bathsheba,13.2167,-59.5167,81.21,87,20,14.97,BB,2022-07-28 23:12:23
191,Valmiera,57.5411,25.4275,57.16,96,100,3.65,LV,2022-07-28 23:12:24
192,Rio Verde De Mato Grosso,-18.9181,-54.8442,77.81,24,5,2.19,BR,2022-07-28 23:12:24
193,Mysen,59.5535,11.3258,59.68,69,18,2.06,NO,2022-07-28 23:12:25
194,Tocopilla,-22.092,-70.1979,62.91,72,38,10.58,CL,2022-07-28 23:11:53
195,Ballina,-28.8667,153.5667,57.02,83,1,5.61,AU,2022-07-28 23:12:25
196,Georgetown,5.4112,100.3354,80.89,85,20,4.61,MY,2022-07-28 23:08:39
197,Chemax,20.65,-87.9333,92.93,41,27,8.41,MX,2022-07-28 23:12:25
198,Eyl,7.9803,49.8164,76.08,77,55,20.85,SO,2022-07-28 23:12:26
199,Bara,10.3744,10.7288,72.43,94,73,8.43,NG,2022-07-28 23:12:06
200,Bandrele,-12.9067,45.1914,71.35,88,0,3.44,YT,2022-07-28 23:12:26
201,Barendrecht,51.85,4.5333,64.09,70,100,10.36,NL,2022-07-28 23:11:25
202,Santa Luzia,-19.7697,-43.8514,70.7,44,1,1.28,BR,2022-07-28 23:09:03
203,Presidencia Roque Saenz Pena,-26.7852,-60.4388,55.54,74,100,11.59,AR,2022-07-28 23:12:27
204,Raudeberg,61.9875,5.1352,54.27,78,60,8.23,NO,2022-07-28 23:12:27
205,Qasigiannguit,68.8193,-51.1922,55.65,54,94,7.23,GL,2022-07-28 23:12:27
206,Kidal,18.4411,1.4078,83.05,49,93,16.55,ML,2022-07-28 23:12:28
207,Itarema,-2.9248,-39.9167,78.96,74,59,15.41,BR,2022-07-28 23:12:28
208,Benghazi,32.1167,20.0667,80.47,74,0,8.52,LY,2022-07-28 23:12:28
209,Balkanabat,39.5108,54.3671,83.75,52,4,7.25,TM,2022-07-28 23:09:16
210,Menongue,-14.6585,17.691,52.84,36,5,4.54,AO,2022-07-28 23:12:29
211,Khipro,25.8285,69.3772,82.2,76,88,18.3,PK,2022-07-28 23:08:23
212,Taoudenni,22.6783,-3.9836,105.64,13,76,9.62,ML,2022-07-28 23:12:30
213,Korem,12.5058,39.5228,58.24,77,100,5.21,ET,2022-07-28 23:12:30
214,Karpathos,35.507,27.2132,75.16,73,0,18.41,GR,2022-07-28 23:12:30
215,Shahpur,16.7,76.8333,83.37,70,100,2.95,IN,2022-07-28 23:12:31
216,Damara,4.9608,18.7035,69.01,98,99,2.01,CF,2022-07-28 23:12:31
217,Dingle,10.9995,122.6711,79.9,88,100,6.76,PH,2022-07-28 23:12:32
218,Subate,56.0062,25.9076,50.72,98,36,5.19,LV,2022-07-28 23:12:32
219,Ankazoabo,-22.2833,44.5167,60.48,74,0,6.38,MG,2022-07-28 23:12:32
220,Ramsar,36.9226,50.6426,77.97,84,75,7.47,IR,2022-07-28 23:12:33
221,Thunder Bay,48.4001,-89.3168,62.62,78,79,7.54,CA,2022-07-28 23:12:33
222,Nokha,27.6,73.4167,83.21,71,100,14.2,IN,2022-07-28 23:12:33
223,Touros,-5.1989,-35.4608,75.97,81,7,12.08,BR,2022-07-28 23:13:34
224,Urucara,-2.5364,-57.76,79.99,67,89,2.28,BR,2022-07-28 23:13:34
225,Pangnirtung,66.1451,-65.7125,55.36,64,42,4.79,CA,2022-07-28 23:13:34
226,Yarada,17.65,83.2667,83.12,75,15,4.81,IN,2022-07-28 23:13:35
227,Riviere-Au-Renard,48.9957,-64.3971,63.7,81,85,10.0,CA,2022-07-28 23:13:35
